N_cut,tau
6.000000000000000000e+00,2.156668514821305394e+00
7.000000000000000000e+00,2.221252630363980352e+00
8.000000000000000000e+00,2.251530065863934560e+00
9.000000000000000000e+00,2.442874512017187527e+00
1.000000000000000000e+01,2.579219904626596005e+00
1.100000000000000000e+01,2.655333776116432176e+00
1.200000000000000000e+01,2.762329775769542195e+00
1.300000000000000000e+01,2.790003358941335776e+00
1.400000000000000000e+01,2.852417815275015922e+00
1.500000000000000000e+01,2.851904864325096600e+00
1.600000000000000000e+01,2.845341711085574765e+00
1.700000000000000000e+01,2.944244100726244096e+00
